Site Longitude   Latitude   Height      Nvel     Evel     Uvel   Nerr   Eerr   Uerr
ac26 205.84970822 58.2145555  190.124   -19.55    -7.57     4.76   0.12   0.14   0.19 
ac27 205.83711964 59.25250783  417.476   -27.83    -5.31     3.37   0.11   0.13   0.22 
ac28 199.95083967  55.078491  365.100   -14.87   -13.01    -0.22   0.19   0.06    0.2 
ac31 197.76087396 64.6379766  228.346   -24.82    -2.82    -0.23   0.13   0.11   0.24 
ac32 209.2630832 61.4731213 1347.740   -22.38   -10.09     4.11   0.31   0.21   0.34 
ac33 209.31492735 62.67117811 1521.119   -23.13   -17.08     3.87   0.68   0.48   0.96 
ac34 206.72082303 57.22002668  103.229    -2.75   -20.61     3.15   0.14   0.09   0.17 
ac35 209.20675519 59.37581138  408.401   -11.29    -14.4    10.91   0.26    0.2   0.39 
ac36 209.39165204 60.95531741   46.448   -19.75   -10.97     6.38   0.26   0.09    0.3 
ac37 206.13461671 60.43968776 1626.570   -27.88    -3.34     3.79   0.15    0.2   0.29 
ac38 206.65812862 57.75368544   43.784   -13.91   -14.36     7.16   0.12   0.12   0.18 
ac39 207.60592719 58.60971999  157.117   -24.01    -7.96     9.36    0.1   0.12   0.16 
ac40 201.38142952 56.93035281   39.898    -17.9    -12.3     0.82   0.15   0.06   0.21 
ac41 199.59269573 55.90866914  407.738   -18.07   -12.39     0.39   0.18    0.1   0.22 
ac42 197.21634857 54.47177675  257.893   -22.26    -8.22     2.09    0.1   0.07   0.22 
ac43 210.37126481 59.52127903   69.515    15.62   -20.46     4.59    0.1   0.09   0.23 
ac44 210.4328752 61.24217283  832.141   -10.98   -17.56      4.8   0.55   0.13   0.32 
ac45 205.81903951 56.56445326  451.081     7.22   -22.36     -3.4   0.11   0.09   0.19 
ac46 208.47599891 61.9862697  619.728   -26.87    -9.43     5.03   0.14   0.15   0.22 
ac47 207.37605537 60.0814515  922.240   -29.47    -4.66     9.99   0.25   0.31   0.74 
ac48 212.65698409 60.64586163  379.516    21.41   -27.79      0.3    0.1   0.08    0.3 
ac50 195.43343048 65.55384946  516.848   -24.19    -2.01    -0.26   0.32   0.12   0.45 
ac51 208.16465218 61.49808352  957.376   -27.04    -7.68     7.53   0.19   0.18   0.28 
ac52 202.42578381 57.56725013   51.819   -17.08   -12.29     1.24    0.2   0.09   0.19 
ac53 209.93104807 61.76897307   57.458   -19.89   -13.37     3.77   0.35   0.31   0.46 
ac55 208.23540967 62.38444444 1012.354   -13.66    46.49   -22.75   0.53   1.23   1.32 
ac57 214.25729749 61.13859646  826.346     8.88   -24.24     9.78   0.09   0.08   0.27 
ac58 189.78218005 57.15608852   19.381   -23.63    -3.92    -0.29   0.08   0.09   0.23 
ac59 206.41479973 59.56719891  308.546   -30.22    -4.72      5.3   0.09   0.08   0.16 
ac60 174.07626887 52.7146196   18.292    -5.33   -19.64     2.24    0.1    0.1   0.26 
ac61 217.9241529 64.02926009  745.410   -19.24    -8.52    -0.52   0.09    0.1   0.35 
ac62 213.68730866 63.08360662 1347.094   -12.49   -21.77      4.6   0.07    0.1   0.21 
ac63 214.15275369 63.50242724  815.015   -18.24    -8.52     8.05   0.06   0.07   0.19 
ac64 215.69601588 62.71401421  774.452    -2.69   -22.34     9.83   0.18   0.12   0.36 
ac65 216.2957846 62.83150898  735.626    -3.47   -18.64      5.5    0.2   0.12   0.46 
ac66 179.30132657 51.3781298  106.782   -16.59   -20.22     1.95   0.21   0.24   0.26 
ac67 207.57456782 57.79071758  347.216    -7.53   -16.66     7.91   0.15   0.13   0.19 
ac70 211.8116831 63.30471528  810.836   -16.92   -17.64     3.71   0.11   0.08   0.34 
ac71 214.2863705 64.04930824  363.975   -20.87    -7.02      3.4   0.07   0.07   0.23 
ac72 214.11229648 63.69506178  558.800   -19.91    -6.57     4.89   0.09   0.08   0.33 
ac74 211.19274367 63.46436122  668.579   -17.52   -13.66     2.79   0.15   0.06   0.24 
ac75 210.39117793 62.99931068  608.602   -18.55   -15.82     5.21   0.21   0.07   0.23 
ac76 216.74116555 63.03999939 1585.257   -15.42    -5.86     4.01   0.12   0.13   0.25 
ac77 214.5737558 62.68802928  746.819    -9.15   -20.93     6.35   0.09   0.07   0.49 
ac78 217.97202841 63.11349475  643.747   -17.22    -7.81    -0.64   0.12    0.1   0.45 
ac79 212.59695515 59.99786835  287.764    26.88   -27.46    -1.19    0.2   0.14   0.24 
ac80 208.23495854 62.39407793 1114.458   -25.42   -11.47     6.68   0.16   0.17    0.3 
acho 279.82689328 7.41473074   35.576    13.78    25.69    -0.95    0.3   0.81   0.48 
acor 351.60106577 43.36438284   66.929     17.0     20.8     -1.9   0.04   0.04    0.1 
acp1 280.05013992  9.3713918   12.795     11.7    16.72     0.14   0.11    0.1   0.35 
acp6 280.59217611 9.23847566  943.506    12.08    16.79    -0.24   0.13   0.11   0.33 
acpm 289.46256649 -33.44718014  724.663    15.34    12.67     1.36   0.41   0.54   1.02 
acsb 242.55510881 33.27426486  -12.301    17.84   -38.63     -1.8   0.06   0.07   0.28 
acso 277.0184688 40.23236071  248.181     2.02    -15.0    -1.43   0.05   0.05   0.21 
