Site Longitude   Latitude   Height      Nvel     Evel     Uvel   Nerr   Eerr   Uerr
har7 242.70078708 35.01154018  590.365     2.19   -19.35    -2.02   0.11   0.08   0.43 
harb 27.70724376 -25.88696367 1558.084     18.6    17.71    -0.13   0.04   0.04   0.11 
hark 27.70775768 -25.88710903 1555.379    19.73    20.28     1.23   0.92   0.97   1.96 
hart 27.70775922 -25.88710401 1555.363    19.46    17.31    -2.36   1.02   1.13   1.73 
harv 239.31794026 34.46939796   14.956    24.01   -42.72     -3.3   0.28   0.15   0.26 
hati 274.28993824 10.29219761   58.597    22.26    12.13    -3.58   0.13   0.14    0.3 
hav2 92.98044904  12.035227  -55.613     9.69     1.06    21.97   0.19   0.22   0.59 
hbco 241.71420851 33.7836445  -26.863    18.85   -38.56     -1.0   0.06   0.12   0.19 
hbrk 262.70647673 38.30464976  412.597    -2.92   -13.92      0.0   0.12   0.09   0.21 
hcc1 264.43877968 29.78786925    3.802    -1.06   -13.02    -7.33   0.25   0.17   0.53 
hces 270.82823441 36.33260488   77.933    -0.09   -14.06    -0.47   0.05   0.09   0.21 
hcmn 243.56992663 34.75477422  568.742    -5.08   -19.22    -0.61   0.03   0.04   0.11 
hcro 238.53010191 40.81591756 1000.087     -6.4   -19.03    -0.07   0.05   0.06   0.22 
hdf1 286.4608802 43.27082721   41.695    -8.26   -17.44    -1.11   0.75   0.59   0.49 
hdf2 286.46090899 43.27107087   42.441      0.6   -14.41     0.45   0.87   0.96   1.19 
hdf5 286.46087871 43.27082672   41.862    -0.69   -16.85    -0.94   0.41   0.37   0.33 
hdf6 286.46090775 43.27107102   42.659     3.14   -15.62    -0.77   0.62   0.56   0.64 
hdil 270.70601125 40.55588584  199.935     0.08   -15.05    -3.48   0.07   0.08   0.35 
hdpw 208.46881037 59.64168387   20.768   -22.86    -9.19     9.62    0.2   0.15    0.3 
hebe 248.62728394 40.51409986 1806.344    -8.25    -14.7     0.57   0.12   0.12   0.41 
hel2 321.78429681 66.4011565  424.721    16.47   -18.42    15.87   0.08   0.06   0.38 
helb 240.97703392 36.67884202 1105.346    -0.25    -21.4    -0.98    0.2   0.18   0.46 
helg 7.89309029 54.17448058   48.399    16.03    17.79     0.33   0.04   0.05   0.15 
helj 7.89309097 54.17448093   48.398    16.89    17.78     0.23   0.28   0.43   1.05 
hell 243.0207978 36.72364698  659.993    -7.75   -15.95     0.14   0.19   0.26   0.76 
help 240.97718243 36.6801502 1120.424    -2.93   -23.55     1.08   0.53   0.73    1.7 
her2 249.03278501 29.09254707  186.949    -7.48   -10.43    -0.13   0.07    0.1    0.2 
hers 0.33626828 50.86731179   76.496    16.68    16.93    -0.26   0.05   0.04   0.12 
hert 0.33435291 50.86747918   83.339    16.43    17.18    -0.36   0.06   0.09   0.14 
hflk 11.38608981 47.31290366 2384.131    16.62    20.98     1.94   0.16   0.16   0.35 
hikb 178.30335269 -37.56104068  107.291    19.99     6.49    -0.09   0.05   0.06   0.15 
hil1 115.73857862 -31.82552782  -27.205    57.43    38.28    -1.85   0.05   0.09   0.21 
hilb 280.89746819 36.05283468  171.062      3.6   -13.99     -0.9    0.1   0.07    0.3 
hilo 204.94731016 19.71918029   29.308    35.65   -62.28     -1.5   0.09   0.09   0.31 
hilr 204.95051262 19.71738948   30.804    35.28   -62.88    -2.95   0.17    0.2   0.38 
hipt 279.98640252  35.965698  266.592     3.33   -13.98    -1.07   0.04   0.03   0.13 
hivi 242.20054853 34.7599193  930.860      4.7   -23.71    -0.47   0.05    0.1   0.15 
hjor 318.85213315 63.41820911  762.648    15.78   -15.49     5.38   0.08   0.11   0.33 
hklo 264.1366167 35.68275463  191.106    -2.85   -14.15     0.55   0.07   0.07   0.29 
hkoh 114.2285577 22.24768541  166.374   -11.64    32.49     0.76   0.14   0.15   0.42 
hksc 114.1411916 22.3221709   20.201   -11.21    32.96     0.38   0.09   0.09   0.27 
hksl 113.9279851 22.37200362   95.266   -10.99     33.0     0.18   0.17   0.11   0.27 
hkws 114.33538104 22.43428119   63.760   -11.43    32.86     0.34   0.09   0.13   0.28 
hlfj 339.86379282 64.2770869  353.576    18.69    -8.17    11.36   0.28   0.15   0.42 
hlfx 296.38872073 44.68354932    3.109     8.73   -15.25    -1.11   0.04   0.04   0.13 
hlid 245.58595614 43.56258106 1769.714    -9.84   -16.01    -0.87   0.11   0.08   0.26 
hlne 288.25517883 -35.00463538   65.242    19.12     8.33    10.58   0.38   0.26   0.44 
hlsy 236.89088192 44.37756484   71.795    -5.79    -9.74     6.69   0.13   0.13   1.15 
hmbg 331.87093184 73.67598109 1322.915    19.08   -14.06      0.5   0.06    0.1   0.27 
hmtg 242.99849656 33.70809655  577.015    13.23   -33.68    -0.31   0.12    0.1   0.57 
hnlc 202.13545905 21.30328583   21.974    34.68   -62.72    -0.43   0.05   0.06   0.15 
hnps 244.36466609 33.70500656  393.942    -6.44   -17.13    -0.64   0.04   0.04   0.12 
hnpt 283.86962792 38.58881621  -27.952     4.22   -14.53    -2.14   0.09   0.07   0.13 
hnus 19.22306239 -34.42463023   63.043     19.3    16.53     0.56   0.12    0.1    0.3 
hob2 147.43873234 -42.80471864   41.071    55.53    14.01    -1.19   0.04   0.04   0.13 
hobu 10.47630059 53.05063122  152.204    15.59    18.51     0.37   0.03   0.03   0.12 
hofn 344.8020772  64.267291   82.575    14.09    14.27    11.64    0.1   0.16   0.18 
hogs 239.52050674 35.86671327  762.853    17.69   -34.06      1.5   0.04   0.05   0.16 
hoki 170.98431529 -42.71290795   53.661    42.73    -3.92    -1.37   0.04   0.04   0.12 
hol3 242.15487553 34.45815455 1239.408      7.9   -29.41     0.51   0.06   0.07   0.15 
holb 231.8650045 50.6403546  559.585   -11.09   -11.74     1.87   0.04   0.08   0.11 
holc 242.15484279 34.45818531 1238.066      8.1   -30.29     0.04   0.12   0.12   0.36 
hold 175.51518777 -40.89724603  469.658    29.81   -21.36    -2.69   0.13   0.23   0.31 
hole 204.87153964 19.31488519  408.445   -58.14    -2.36    -1.14   6.61    4.7   2.37 
holm 242.23876628 70.73630453    0.414   -12.33   -17.32     3.09   0.11   0.08   0.19 
holp 241.83183423 33.92453799   -6.664    15.93   -38.37    -4.23   0.07   0.06   0.21 
hopb 236.92527627 38.99518355  353.215     9.89   -30.59    -0.49   0.05   0.06   0.16 
horn 170.10551147 -43.77732968  960.336     33.6   -23.06     4.63   0.08    0.1   0.28 
hotk 241.17875025 37.65858834 2143.173    -3.66   -16.49     4.51   0.15   0.35   0.49 
hous 264.56700943 29.77941949   12.036    -2.33   -14.35    -8.91   0.27   0.29   1.13 
howe 210.56673291 -87.41565501 2582.578    -5.53     12.8    -2.37   0.34   0.42    0.5 
hown 273.23266401 -77.52803733 1478.231     8.58    12.23     2.07   0.12   0.12   0.28 
hoyn 273.17189398 12.59873206  764.971     6.57     2.61    -5.14   0.43    0.4   1.65 
hpig 246.89987104 43.71327952 2640.699    -9.84   -16.16     0.01    0.1    0.1   0.27 
hrao 27.68697892 -25.89010629 1414.151    18.49    17.57     0.49   0.04   0.04   0.12 
hrdg 315.48263221 81.87983129  718.341    13.82   -18.34     7.54   0.05   0.05   0.29 
hrm1 358.71610845 51.45374265  163.018     16.6    16.47    -0.24   0.06   0.04   0.22 
hrm2 358.71610843 51.45374266  163.018    16.35    16.65    -0.31   0.15   0.13   0.46 
hrmn 35.78544937 33.3083099 2091.731    22.52    22.27     0.51   0.13   0.21   0.52 
hrpr 242.39205229 43.86587064  760.944    -9.98    -15.2    -0.24   0.25   0.24   0.83 
hrst 276.48895511 49.66744536  228.361    -0.46   -18.51     5.58    0.3   0.39   0.37 
htv1 273.91049546 36.35770948  167.338     0.45   -13.75     -0.2   0.12    0.1    0.4 
htv5 273.91049418 36.35770954  167.496     1.39   -13.78    -1.86   0.35   0.29   1.13 
hua2 274.64830621 10.01773139  593.902    27.63    17.56    -4.38   0.21   0.18   0.21 
hueg 7.59616556 47.8339476  278.307    16.22    19.58    -0.18   0.05   0.05   0.17 
hugo 294.33245873 -64.96256216   20.642    10.69    14.88     0.44   0.14   0.13   0.52 
hunt 239.59761809 35.88081186  449.319     9.21   -27.47     1.42   0.04   0.05   0.15 
hurr 246.42526904 37.06387193  924.461    -8.51   -14.85    -1.13   0.15   0.13   0.37 
husb 238.15063942 44.1195262 2038.313    -4.65   -13.65     5.67   0.11   0.15   0.33 
hutb 92.53240982 10.6095077  -55.272    33.46    -4.69     3.27   0.16   0.31   0.55 
hvel 340.43875801 64.87303997  710.032    22.56   -10.36    12.24   0.13    0.1   0.44 
hvlk 260.89324124 37.65146789  621.332    -3.51   -14.66    -1.39   0.11   0.12   0.38 
hvwy 249.46403848 44.61360185 2406.917   -10.01   -15.28     -3.5   0.55   0.59   1.36 
hvys 240.81246212 34.44122988  373.958    13.78   -39.25    -0.85   0.05   0.05   0.14 
hw62 245.15529678 34.06495799  220.775    -8.33    -14.6    -0.91   0.09   0.11    0.3 
hwut 248.43488456 41.60724097 1714.952    -8.37   -14.73    -0.62   0.04   0.05   0.16 
hyde 78.55086829 17.41725751  441.698    35.65    40.61    -0.26   0.07   0.06   0.18 
i40a 244.0885523 34.72732532  765.306    -8.57   -15.17      0.3   0.05   0.04   0.13 
ibec 281.88431401 0.35015719 2246.210     9.79    -2.94    -2.56   0.18   0.32   0.37 
ibex 243.63216496 35.84838359  700.956    -8.05   -15.54     -0.1   0.21    0.2   0.53 
icig 247.05850434 44.33033953 2502.430    -9.72   -15.39    -0.28   0.08   0.09   0.32 
idch 245.77986787 44.51513428 1545.212    -9.11    -14.7     0.56   0.13   0.11   0.47 
idog 243.77848628 33.79679753  434.933      1.6   -22.98     0.67   0.08   0.07   0.22 
idqg 243.76101584 33.76797301   -1.336     3.17   -23.73     0.92   0.12   0.07    0.2 
idsn 246.10306609 45.19207328 1184.615    -9.23   -14.32    -0.37   0.08   0.08   0.22 
idtd 243.71659346 43.65294273  788.657   -10.08   -15.78    -1.72    0.1   0.13    0.3 
idtf 245.55240942 42.53640876 1145.056   -10.18    -16.8     0.14   0.28   0.21   0.95 
ieng 7.63940463 45.0151323  316.622    15.68    20.49     0.17   0.06   0.04   0.15 
ifr1 354.87447644 33.51393207 1708.796    17.58    17.03     0.25   0.08   0.08   0.23 
ifrn 354.89153477 33.53962519 1710.092     17.5    16.85     1.02   0.13   0.16   0.48 
igeo 28.8435186 47.03036792  105.864     11.2    22.77     0.14   0.37   0.32   1.82 
igmi 11.21380133 43.79565013   95.066    17.33    21.69    -0.24   0.25   0.19    0.8 
ign1 280.46424503 8.98488579   47.559    12.55    17.53     1.85   0.27   0.22   0.86 
iid2 244.96819824 32.70616958    9.815    -5.94   -16.51    -3.12   0.08   0.18   0.15 
iisc 77.57037188 13.02116276  843.703    35.47    41.83    -0.55   0.04   0.06   0.16 
iitk 80.23214088 26.52143138   69.777    35.52    35.72     1.85   0.34   0.39   1.16 
ildx 358.82319694 46.00943146   59.030    16.38    18.18    -0.56   0.06   0.06   0.22 
ilsg 254.63819855 -26.47290553    6.535    -3.61    65.21    -2.42   0.17   0.18   0.56 
imbt 311.34427838 -28.23483861   31.369    12.55    -3.49    -0.37   0.12    0.1   0.34 
imps 244.85490115 34.15756401  563.253     -7.8   -14.91    -0.84   0.03   0.04   0.11 
impz 312.50276552 -5.49176645  105.016    12.69     -4.2    -2.41    0.1   0.11   0.28 
ind1 274.49780383 9.86462685   74.802     33.5    18.72   -13.27    0.3   0.28   0.33 
ineg 257.71579773 21.85615343 1888.402    -0.27    -9.72   -44.86   0.37   0.25   2.47 
inmn 261.11953307 -74.82086542  678.057    12.73    13.51    31.25   0.66   0.76   0.87 
invk 226.47304071 68.30618602   46.373   -16.79   -12.73    -1.47   0.09   0.07   0.38 
invr 355.780741 57.48625411   66.207    19.37    14.46     0.77   0.35   0.24   0.85 
ipaz 249.66925471 24.14527248  -14.844    22.22    -48.5    -0.19   0.13   0.16   0.32 
iqal 291.48950245 63.75596405   91.692     6.17   -18.73     4.11   0.06   0.06   0.23 
iqqe 289.86828545 -20.27354166   38.940    15.05    24.56     2.24   0.06    0.1   0.16 
iqui 286.7312913 -3.76734556  122.123    10.99    -3.55    -0.52   0.26    0.2   0.99 
irkj 104.31618134 52.21902081  502.060    -6.68    25.26    -0.36   0.07   0.05   0.21 
irkm 104.31624037 52.21902423  502.345    -6.54    24.98    -0.06    0.1   0.11   0.24 
irkt 104.31623696 52.2190248  502.338     -6.7    25.51     0.46    0.1   0.13   0.25 
iryl 307.41324816  5.2846762  -28.007    12.78    -4.58    -1.35    0.2   0.23   0.56 
irzu 276.10245338 9.96685916 2963.549    14.29    12.69     0.86   0.83   0.86   3.27 
isba 44.43840278 33.34141516   72.357    27.74    25.09    -0.48    0.1   0.07   0.25 
isco 272.94416901 5.54434312   10.389     73.8    49.67    -4.09   0.25   0.21   0.68 
ishi 140.21895559 36.20883111  155.868   -12.79    10.74     9.46   0.68   0.84   0.82 
islk 241.52570103 35.66227084  823.351    -0.16   -21.92     1.73   0.05   0.06   0.19 
ispa 250.65558782 -27.12498271  112.491    -6.18    66.43    -0.43   0.11    0.1   0.26 
ista 29.01933841 41.10444732  147.241    12.45    22.97     0.27   0.05   0.05   0.15 
iuco 273.49355446 39.17406462  229.483     1.22   -14.86    -1.32   0.05   0.04   0.17 
ivco 244.49321229 32.82938126  -53.407    10.79   -25.48    -1.83   0.11   0.26   0.43 
izan 343.500321 28.30806766 2417.418    17.11     15.3    -1.05    0.4   0.35   0.88 
izmi 27.08182237 38.39480762   74.936    -2.72     3.06     0.25   0.36   0.19   0.61 
jab1 132.89389567 -12.65885231   82.146    60.67    35.39    -1.54   0.23   0.16    0.6 
jama 283.21912773 17.93902291   -2.939     8.22     6.02    -1.57   0.65   0.76    1.5 
jas1 243.01191394 32.82792148   97.521    18.46   -39.96    -0.19   0.19   0.23   0.67 
jask 57.76390012  25.649489  -15.877     20.2    29.76    -1.02   0.28   0.14   0.35 
jcfi 273.17173168 12.68374407   44.118     4.44     5.51     0.14   0.42   0.38   0.84 
jct1 260.19892526 30.4794076  571.822    -3.74    -12.2     0.82   0.11    0.1   0.42 
jcuz 204.89843772 19.38408668  826.606    13.91   -52.27   -18.24   0.39   1.16   4.44 
jfng 114.49101923 30.51556539   71.304   -11.19    33.17     0.38   0.11   0.06   0.36 
jfws 269.75189375 42.91427149  293.644    -0.64   -15.81    -3.28   0.08   0.08   0.38 
jgbl 328.9958022 82.2087574  753.199     18.1   -14.46     5.88   0.06   0.06   0.27 
jime 237.00947133 45.52311883   53.048    -4.85    -8.65    -0.09   0.14   0.12   0.31 
jln5 239.16709655 35.8731748  141.015    22.55   -37.38     1.13   0.08    0.1   0.31 
jmbi 103.52032273 -1.61560235   62.385    -5.65     25.1     0.04   0.23   0.32   0.43 
jme2 287.46159328 18.23504731   -8.438     9.33      8.3    -0.61   0.13   0.14   0.37 
jnhg 242.04456053 34.44906405 1276.163     9.44   -30.59    -0.24   0.08    0.1   0.29 
jnpr 240.91526599 37.77174393 2309.117    -1.07   -21.96     2.31   0.23   0.22   0.72 
jobo 237.56269977 48.56237043  -11.528    -8.85    -9.89      4.8   0.12   0.16   1.07 
joen 30.09615631 62.39117285  113.722    12.01     20.6     3.78   0.05   0.04   0.23 
jog2 110.37246143 -7.76381364  174.260    -8.91    27.87     0.13   0.18   0.42   0.37 
john 243.90096038 36.45881531  871.726    -8.67    -15.4    -0.09   0.08   0.08   0.25 
joka 204.99555084 19.43361277  482.549    30.01   -60.21     0.62   1.21   0.42   1.78 
joz2 21.0323505 52.09783556  152.507     14.2    20.86    -0.27   0.05   0.05   0.18 
joze 21.03153536 52.09727346  141.435    14.46    20.84     0.06   0.04   0.04   0.14 
jplm 241.82677973 34.2048183  424.002    13.07   -36.81    -0.02   0.07   0.04   0.13 
jro1 237.78238533 46.2751253 1275.631    -7.02    -9.82    -0.78   0.21   0.07   0.21 
jrsc 237.77260219 37.40624795  144.270    17.47   -34.51    -0.45   0.06   0.09   0.29 
jslm 35.20245132 31.77115286  790.336    20.06    23.13      1.6   0.07   0.04   0.18 
jtnt 259.02285502 33.01720045  684.524    -4.34   -12.87    -0.31   0.08   0.09   0.25 
juri 92.13531142 24.49842093  -29.038    31.86    37.28     1.15    0.3   0.42   0.96 
jwlf 314.88017059 83.11165257  112.828    14.96   -18.79     5.81   0.08   0.06   0.33 
kabr 35.14505678 33.02281473  103.401    20.24    22.08     0.42   0.03   0.04   0.14 
kaep 204.87858838 19.28090558   37.999   -23.91   -29.22    11.69   0.61   0.21   0.43 
kaga 310.18537358 69.22230072  149.802    12.07   -19.81    14.37   0.06   0.15   0.85 
kagz 294.14704713 79.13195831   86.532     6.03   -22.11     8.76   0.06   0.05   0.36 
kahu 176.87627733 -39.79375078  654.266    25.16    -8.67    -2.23    0.1   0.25   0.22 
kaik 173.53365753 -42.42546568  314.780    31.19   -29.59    -1.49    0.1   0.08   0.14 
kan1 264.59790005 39.12587849  294.756    -2.85   -14.73    -0.23   0.35   0.25   0.53 
kan2 264.59850659 39.12588486  291.987    -2.54   -14.21     0.18    0.9   0.54    2.0 
kapt 174.90976351 -40.86090004  367.574    37.91    -12.3    -1.35   0.25   0.38   0.28 
kara 169.77516297 -43.6083891 1403.274    41.27   -11.56     1.21   0.07   0.06   0.14 
karl   8.411257 49.0112443  182.869    16.07    19.37      0.0   0.04   0.04   0.12 
karr 117.09718678 -20.98143665  109.153    58.66    38.76    -0.52   0.04   0.05   0.12 
kat1 132.15327356 -14.37600071  184.290    59.09    35.12     0.11   0.08    0.1   0.24 
kato 19.03563505 50.25327076  332.886    11.68    21.32    -1.01   0.07   0.07    0.2 
katz 35.68828167 32.99524445  346.999    22.61    22.48     0.15   0.06   0.04   0.16 
kawk 176.42277081 -39.42403595  831.357    28.02    -0.55    -2.48   0.22   0.26   0.36 
kayo 246.53907629 35.19526239 1424.766    -8.51   -14.55    -0.61   0.14   0.13   0.29 
kayt 120.97774085 13.98688046   61.115    -2.55   -24.26    -2.93   0.95   1.41   2.27 
kaza 73.94350807 41.38493852 1409.202     7.58    27.23     0.59   0.11   0.08   0.31 
kbrc 240.99180516 34.3985267  370.483    13.89   -37.87    -0.31   0.09   0.08   0.17 
kbug 318.84245692 65.14368144  290.641    15.71   -17.58     6.61   0.12   0.09   0.73 
kdl1 240.44351398 36.31963227   46.240    -3.35   -23.67  -111.94   0.72   0.72   6.39 
kels 237.10393196 46.11817793  -15.923    -5.79    -9.33    -0.67   0.12   0.15   0.29 
kely 309.05516559 66.98741743  229.861    11.87   -18.44     4.97   0.04   0.06   0.31 
ken1 208.64981851 60.67508126   55.994   -30.29    -4.04     7.95   0.33   0.25   0.37 
ken5 208.64981747 60.67507806   56.296   -25.68    -7.65     8.96   0.37   0.32   0.36 
keni 240.84136803 46.19788383  146.098    -9.99   -13.15     1.23   0.09   0.14   0.72 
kepa 323.4857103 -54.29524484  346.205    14.27    -2.09     3.89    0.2   0.17   0.52 
kere 176.37013448 -39.64315447  520.840    28.77    -2.92    -1.71   0.21   0.35   0.44 
kerg 70.25552139 -49.35146658   73.015    -3.27     4.55     0.48   0.09   0.04   0.12 
ketg 70.2179277 -49.35218283   47.257    -3.71      4.7    -0.13   0.12    0.1   0.29 
kew1 271.37567655 47.22706599  163.601    -1.81   -16.15     0.98   0.11   0.09   0.37 
kew5 271.37567396 47.2270658  163.790    -1.85   -16.51    -1.46   0.09   0.06   0.44 
kfap 204.55937452 19.43835264 2073.502    29.73   -51.27    -0.31   0.19    0.3   0.22 
kfrc 238.21611955 42.22417124 1240.146     -6.5   -15.72    -2.07   0.08   0.08   0.29 
kgmn 245.99764792 35.23105071 1015.638    -8.66   -14.19    -0.14   0.13   0.23   0.23 
kgn0 139.48853225 35.70676554  128.885    -6.83    -3.05     0.68   0.33   0.34    0.7 
kgni 139.48812084 35.71034224  123.490    -5.33    -1.04     8.33   0.08   0.12   0.83 
khaj 135.04615469 48.52145473  130.469   -13.68    20.97     0.61   0.11   0.08   0.45 
khar 36.2390074 50.00510222  201.026    11.69    23.97     0.95   0.15   0.09   0.32 
khku 204.36342547 19.31666408 2641.445    32.27    -60.4    -4.85   0.08   0.06   0.23 
king 245.9585223 35.19736068 1129.424    -9.24   -15.09      0.3   0.14   0.12   0.35 
kios 273.29828808 12.49431957  489.351     13.8     9.62    -0.88    0.5   0.58  13.35 
kir0 21.06023806 67.87757511  497.997     14.8    16.03     7.27   0.07   0.06   0.25 
kir8 21.06018727 67.87754602  498.127    14.83     16.2     8.67    0.3    0.4   1.22 
kiri 172.92289918 1.35458041   36.169    31.22   -67.74    -0.07   0.06   0.05   0.17 
kiru 20.96844293 67.85735007  390.899    14.76    15.86      6.6   0.06   0.06   0.25 
kit3 66.88544203 39.13476636  622.512      5.6    28.01    -1.93   0.08   0.07    0.2 
klhv 34.86672609 31.37806284  498.047    19.83    23.05     1.54    0.1   0.06   0.19 
klop 8.72993407 50.21976433  222.402    15.84    19.08    -0.61   0.04   0.03   0.14 
klpd 21.11888468 55.71535527   42.746    13.98    20.03     1.29   0.28   0.23   0.85 
klts 241.44183078 46.64320696  257.237    -9.92   -13.77    -0.21   0.09   0.11   0.35 
kmjp 326.62292478 83.64323663   85.095    18.32   -14.94     4.62   0.07   0.08   0.29 
kmnm 118.38857946 24.46382239   49.124   -11.78    32.51     1.16   0.14   0.13    0.5 
kmor 296.47260665 81.25271444  203.242     7.44   -21.63      7.5   0.14   0.09   0.28 
kmtr 78.19920764 41.86779813 4158.522     5.21    31.89     2.68   0.61   0.38   0.19 
kngs 283.48273399 44.21869067   48.807     3.49   -15.95     0.73   0.04   0.05   0.16 
knne 204.31380467 19.28562379 2468.316    34.19   -59.26    -4.83   0.06   0.07   0.21 
knol 241.02082878 37.65911802 2651.759    -3.31   -22.55     2.43   0.18   0.26   0.54 
kod1 207.80657409 57.61769243   26.930     -5.6   -15.53     7.37   0.64    0.4   0.59 
kod5 207.80657043 57.61769205   27.212     2.53   -18.49     7.01   0.16   0.11   0.22 
kod6 207.80611815 57.61759196   27.208      1.8   -17.91     6.41    0.2   0.21   0.23 
kodk 207.49862423 57.73510696   37.910   -10.92   -15.59    12.13    0.6   0.34    0.7 
kok1 200.24183919 21.98348971   23.657    35.36   -62.13    -0.99   0.12   0.11   0.37 
kok2 200.24175356 21.98376673   23.649    37.17   -64.23    -1.15   0.35   0.32   0.98 
kok5 200.24183214 21.98349352   23.817    34.92   -62.01    -1.99   0.09   0.12    0.3 
kok6 200.24174433 21.98377176   23.809    35.56   -62.55    -1.73   0.17   0.17   0.55 
kokb 200.33508052 22.12625845 1167.373    34.65   -62.18    -0.11   0.03   0.04   0.11 
koko 177.66778592 -39.01610431  301.779    17.18    -0.97    -1.82    0.1   0.21   0.16 
kokr 200.33468755 22.12315721 1163.641    34.69   -62.27     0.42   0.14    0.2    0.4 
kokv 200.33506984 22.12626395 1167.363    34.72   -62.23    -0.07   0.05   0.08   0.19 
koot 243.19035896 47.77074923  685.756   -10.01   -13.48     0.77   0.15    0.1   0.26 
koro 175.42405453 -40.40933177   51.549    37.13    -9.01    -0.86   0.26   0.51   0.81 
kosg 5.80964029 52.17842473   96.856    16.29    17.97    -0.57   0.06   0.06   0.15 
kosm 204.68353716 19.3633223  990.288    13.45   -38.05   -18.28   0.89   1.03   1.18 
kou1 307.19402819 5.25218818  -25.747    12.23    -4.63    -0.15   0.29   0.33   1.24 
kouc 164.28733429 -20.55869694   84.158    47.39    21.92    -0.63   0.08   0.09   0.16 
koug 307.36024983 5.09847082  107.239    12.83    -4.54    -0.18   0.07   0.07   0.28 
kour 307.19404088  5.2521796  -25.762    12.88    -4.57    -0.85   0.05   0.04   0.18 
krac 241.11952854 37.71331041 2377.684    -0.42    -18.1     5.46   0.36   0.27   0.79 
krgg 70.25550573 -49.3515432   72.974    -3.89     4.69     0.58   0.11   0.09   0.29 
krs1 43.09344754 40.58845359 1811.772    15.31    27.02    -0.03   0.36   0.22   1.12 
krtv 78.61906167 50.7139505  126.163     0.93    26.89      0.2   0.05   0.05   0.25 
ksmv 140.65767465 35.95537345   57.893    -9.12    -1.72    -0.38   0.18    0.4    0.3 
ksnb 324.42368599 66.86327924 1720.828    18.74   -15.34    13.34   0.12    0.1   0.34 
kstu 92.79382865 55.99325019  210.030    -3.83    24.99     0.62    0.5   0.39   1.05 
ksu1 263.39051973 39.10075024  325.581    -2.72   -14.47    -0.28   0.05   0.07   0.21 
ktbw 237.20458282 47.54731997  491.576    -7.84    -8.54     -0.6   0.08   0.07   0.12 
ktia 173.27311032 -35.06892986  127.441    41.54     6.21    -1.31   0.07   0.07   0.18 
ktmt 231.40191482 54.08597011   90.328   -13.03   -14.19     3.76   0.15   0.12   0.63 
ktpm 204.83986615 19.34132511  782.973   -18.04   -31.82    16.23  125.3  30.22  75.21 
kual 103.13914674 5.31888883   54.989    -8.21    17.89    -2.54   0.24   0.44   0.62 
kuaq 326.94725494 68.58699873  864.945    17.19   -17.11     17.5   0.08   0.07   0.56 
kulu 322.85064665 65.57933348   67.397     15.6   -15.36     8.29   0.05   0.06   0.25 
kumt 78.19038432 41.86352104 4012.834    12.86    33.48      4.0   0.91   0.67    0.8 
kunm 102.79719365 25.02953985 1986.210   -17.07    32.65     0.24   0.14   0.17   0.35 
kuta 177.06975798 -39.17226168  180.607    21.78     0.72    -2.19   0.12   0.21   0.24 
kuuj 282.25456544 55.27836117   -0.459     3.62    -18.6    13.78   0.09   0.08   0.24 
kvtx 262.10711748 27.54595068   -2.591    -2.45   -12.01    -3.29   0.07   0.07   0.19 
kwbu 238.68799613 43.75238439 1762.559    -7.49   -13.58    -1.56   0.09    0.1   0.37 
kwj1 167.73024501 8.72220456   38.236    29.65   -68.99    -1.21   0.21   0.16   0.76 
kwst 278.24571843 24.55368994  -11.789     2.96   -10.22    -1.55    0.1   0.07   0.31 
kyvw 243.82660629 33.9253694 1498.196    -0.96   -19.52     0.31   0.04   0.05   0.12 
kyw1 278.3469678 24.5822723  -13.786     2.59    -9.64    -0.44   0.11   0.17   0.34 
kyw2 278.34720531 24.58230764  -13.834     2.66   -10.59     0.32   0.38   0.51   1.11 
kyw5 278.34696678 24.5822726  -13.629      2.9   -10.02    -1.31   0.12   0.13    0.4 
lacr 244.29626068 40.8508047 1653.782     -9.6   -16.84    -0.37   0.05   0.05   0.18 
lae1 146.99318682 -6.67370946  140.341    53.41    27.82    -7.17   0.23   0.34   0.54 
lafe 275.03971686 9.80706165   65.238    22.73    16.07    -3.76   0.26   0.17   0.48 
lago 351.33162186 37.09893757   62.720    17.51    17.51     0.01   0.03   0.05   0.11 
lais 102.03393872 -3.52922577   20.020     4.06    13.01     4.94   0.32   0.41   0.46 
lama 20.66993886 53.89239886  187.030    14.45    20.35    -0.18   0.04   0.03   0.14 
lamp 12.60565528 35.4997733   57.781    18.65    20.03     0.33   0.04   0.05   0.16 
lamt 286.09109274 41.00451789   88.930     4.81   -15.03    -0.48   0.04   0.04   0.19 
land  239.52672 35.89978878  568.553    17.25   -33.47      1.3   0.05   0.04   0.14 
lanm 253.69599723 35.88285589 2224.469    -6.05   -13.76     1.37   0.15   0.19   0.54 
lans 275.33669248 42.67388388  241.135     1.28   -15.91    -2.31   0.05   0.04   0.17 
lapc 241.42535291 34.18192043  207.802    17.22   -38.48     0.43   0.04   0.04   0.14 
lapn 238.49399744 43.66460192 1278.967    -7.58   -13.58     -2.0   0.17    0.2   0.63 
lasc 241.69349879 33.9279405   24.686    17.49   -37.89    -1.74   0.07   0.13   0.32 
laug 35.67436983 34.11498577  310.283    21.57    21.49     0.57   0.25   0.39   0.81 
laut 177.44657962 -17.60881523   89.672    31.94     15.3     -1.5   0.06   0.07   0.13 
